,Blood Bags
370,False
25,True
412,True
191,True
335,False
50,False
90,True
359,True
75,False
481,False
426,True
432,True
100,True
17,False
342,True
369,True
478,True
238,False
274,True
463,False
436,True
108,False
289,True
211,False
323,False
395,False
29,False
243,True
308,False
265,True
152,False
153,True
488,False
5,False
87,True
230,True
382,True
165,True
439,True
37,True
99,True
98,True
84,True
180,False
233,False
148,False
2,True
16,True
275,True
30,False
257,True
443,True
336,False
31,False
475,True
361,False
367,True
297,True
302,False
173,False
236,False
7,False
385,False
396,True
19,False
309,True
189,False
164,False
117,False
454,False
248,False
70,False
32,True
187,True
136,True
186,True
197,True
332,True
36,True
56,True
344,False
405,False
155,True
459,False
168,False
471,False
251,True
476,True
277,True
6,True
24,False
431,True
118,True
256,False
281,False
485,True
279,False
353,True
137,True
489,False
296,True
34,False
128,True
357,True
222,False
445,False
183,False
390,True
284,True
364,False
169,True
12,True
355,True
411,True
177,True
304,False
291,False
350,False
49,False
139,True
320,True
59,False
365,True
232,False
403,True
379,True
151,True
420,True
240,True
38,True
162,True
83,False
135,False
310,False
112,True
157,False
381,True
394,False
494,True
91,True
253,True
203,False
453,True
407,True
163,True
26,True
348,True
132,True
444,False
101,True
387,True
146,True
210,True
408,True
96,True
170,True
77,False
482,True
495,False
280,True
422,False
451,False
116,False
384,True
71,False
349,True
55,True
185,False
380,True
220,True
393,False
262,True
449,False
142,True
450,False
113,False
324,False
326,True
74,False
446,False
156,False
366,False
33,True
278,True
107,True
341,False
486,False
171,False
124,True
303,True
0,False
318,True
160,True
372,False
120,True
28,False
195,False
115,True
69,True
298,True
433,True
235,True
266,False
237,False
337,False
204,False
421,True
325,False
378,False
13,True
92,True
178,False
213,True
53,True
492,False
227,False
46,True
86,True
88,True
214,True
282,False
377,False
480,True
207,False
299,True
466,False
35,True
259,False
76,True
122,True
415,False
273,False
8,False
292,True
219,False
458,False
45,True
447,True
193,False
62,False
477,True
351,False
3,True
358,True
472,True
245,False
391,False
39,False
239,True
94,True
225,False
388,True
109,True
268,False
18,True
434,True
15,False
78,True
41,True
42,True
272,True
97,False
270,True
254,False
413,False
192,True
263,False
328,True
93,True
133,True
234,True
4,True
9,True
437,True
260,True
10,False
416,False
287,True
43,False
249,False
430,True
400,True
440,True
313,False
103,False
398,True
40,False
224,True
147,True
406,True
295,True
474,True
339,False
352,False
334,False
374,True
386,True
250,False
47,True
22,False
347,False
114,True
68,True
166,False
269,False
205,True
371,True
285,False
123,True
66,True
11,False
89,True
149,True
247,False
73,True
333,False
241,True
316,False
307,False
144,False
52,False
473,True
23,True
362,True
397,False
130,True
438,True
27,True
184,True
469,True
468,False
154,True
131,True
127,True
484,False
330,True
196,True
221,True
288,True
461,False
329,True
401,False
140,True
402,False
456,True
110,True
314,False
301,False
319,True
493,False
202,False
283,True
216,False
409,True
95,True
340,False
44,False
206,True
460,True
417,False
81,False
158,True
392,False
179,True
455,True
490,True
172,True
159,False
105,True
143,True
63,False
181,True
383,True
389,True
491,False
331,False
312,True
126,True
258,True
418,True
228,True
106,True
145,False
271,False
315,True
14,True
244,True
175,False
327,True
102,False
293,True
267,False
462,False
429,False
414,True
457,True
